316.61,319.69,290.86,309.70,313.57,315.85,302.28,302.77,288.78,347.01,336.80,348.75,352.83,343.05,351.81,346.06,319.85,326.67,315.75,313.36,293.07,266.00,339.80,340.56,332.06,335.29,349.80,336.30,348.70,332.19,355.98,349.74,330.36,342.85,357.29,309.78,339.77,343.86,326.24,309.46,327.41,325.10,320.66,296.00,279.66,317.28,306.79,329.65,318.12,351.54
325.74,317.40,276.29,326.25,337.37,333.29,322.83,316.71,347.48,338.69,325.08,348.78,396.75,452.71,421.59,285.13,339.13,355.55,373.65,370.65,363.47,420.11,353.95,316.08,352.10,342.51,318.31,343.16,332.20,322.54,333.84,300.85,304.52,308.38,323.77,393.96,429.51,470.52,377.55,334.05,335.07,287.04,348.48,337.71,365.27,349.73,368.95,351.82,344.02,342.00
321.41,322.92,346.48,345.57,326.72,344.33,322.21,333.46,344.50,312.79,333.96,302.26,281.81,342.81,352.09,356.93,321.36,341.59,356.42,375.09,347.32,366.22,233.82,320.83,343.13,351.04,323.29,326.04,346.42,302.94,334.09,349.48,368.42,363.32,335.38,338.85,356.21,331.41,344.65,351.02,348.62,340.65,332.13,334.96,353.44,456.94,459.19,474.74,451.59,433.88
222.86,203.49,262.47,281.41,283.93,343.01,339.02,351.52,319.99,329.76,313.85,331.23,297.00,323.82,319.80,330.54,318.09,317.56,323.05,316.70,325.27,405.97,418.74,427.07,381.33,277.91,299.94,328.02,274.15,338.68,353.65,335.82,330.33,339.51,307.55,305.41,345.71,347.80,320.68,330.82,326.77,342.96,372.97,358.05,293.73,304.70,291.12,253.02,290.39,301.98
369.95,396.37,353.12,274.00,264.54,323.92,298.87,334.98,301.40,326.89,322.66,332.94,327.42,334.28,292.15,334.18,320.98,321.89,321.09,326.90,329.96,325.18,322.08,356.04,375.69,425.97,323.21,336.85,331.93,314.46,322.34,362.11,359.39,386.90,370.82,436.38,344.22,315.14,331.00,330.64,348.83,368.54,336.88,330.56,303.43,309.86,309.51,312.25,235.72,297.55
213.06,284.90,268.65,305.79,302.27,330.67,349.71,354.20,378.62,372.67,406.96,409.43,417.28,373.16,385.34,361.93,396.59,350.20,348.74,354.24,423.50,430.32,393.83,339.63,389.19,366.10,368.39,387.32,390.46,409.42,423.87,332.32,335.43,327.81,319.16,310.98,332.87,343.70,300.36,318.10,302.40,346.46,307.65,310.29,324.60,321.81,325.18,323.26,317.84,323.53
325.24,311.76,335.08,348.53,326.68,324.64,334.43,313.86,417.46,396.61,393.40,401.27,339.50,412.27,387.56,360.84,411.86,425.20,339.93,340.02,322.72,321.63,345.35,326.00,329.68,341.63,411.62,375.63,341.29,321.39,326.35,303.53,371.09,308.20,310.42,328.58,340.52,323.12,317.76,331.55,333.40,338.60,380.11,425.30,417.61,317.00,339.11,343.47,348.87,360.66
308.46,351.42,381.83,360.71,337.95,327.99,341.00,326.37,346.49,343.33,318.11,343.84,345.16,343.45,338.19,300.17,307.46,315.00,334.00,324.04,325.00,317.35,337.44,318.61,352.62,344.44,345.85,377.07,333.76,325.38,300.71,320.49,331.75,323.11,326.99,317.83,276.42,286.33,302.53,341.00,338.56,335.46,312.11,369.62,321.32,300.70,409.65,386.77,382.50,350.00
304.12,346.46,333.20,354.36,347.42,348.85,335.60,350.26,370.45,342.72,330.49,322.99,346.73,346.71,316.52,417.14,397.88,444.77,369.86,367.44,328.39,314.18,321.82,314.27,304.44,334.98,348.38,329.76,339.20,332.94,339.07,343.64,343.57,331.97,312.84,352.07,322.02,328.98,337.83,372.68,420.03,343.90,318.85,310.15,364.55,342.54,321.51,318.53,336.00,412.50
360.68,355.99,356.72,366.54,359.19,371.73,337.53,329.90,315.41,334.88,331.61,337.72,334.81,400.45,346.14,336.46,392.73,396.73,390.50,383.08,412.42,354.05,352.36,416.17,319.94,361.02,368.80,379.97,377.10,412.32,373.11,335.48,319.67,325.03,331.57,305.99,324.05,306.39,314.98,320.33,314.48,316.73,313.98,316.73,333.74,310.53,307.48,318.26,348.50,318.24
317.13,340.84,327.43,333.28,349.16,340.51,282.91,248.81,272.36,243.39,316.12,304.21,315.85,313.18,314.24,318.22,314.47,309.28,319.54,321.41,319.34,363.51,334.47,311.72,450.04,368.52,461.07,338.99,323.06,312.10,329.26,339.48,313.72,336.27,327.15,368.33,327.61,323.24,305.15,342.38,376.79,393.24,412.05,400.13,409.78,321.94,320.21,343.33,348.82,367.48
323.77,336.89,312.80,337.51,345.41,350.16,366.41,327.14,317.73,336.81,333.95,342.06,313.61,331.49,317.07,322.69,319.86,322.72,281.50,312.86,288.11,349.51,359.07,336.79,333.15,303.95,327.36,396.01,403.94,424.85,378.32,302.43,313.36,338.80,365.68,416.35,384.62,371.27,412.81,403.75,405.25,381.70,385.20,391.39,350.30,321.81,314.70,313.42,352.73,390.16
366.55,392.94,423.68,347.33,281.08,323.78,340.68,341.92,352.80,374.15,366.22,368.39,414.73,369.69,339.15,299.75,313.99,313.60,321.52,323.24,316.33,326.88,321.66,336.38,315.70,312.68,325.75,333.43,308.45,317.04,309.24,326.19,330.90,337.90,325.71,346.97,361.02,340.73,201.91,293.85,364.23,402.13,367.15,357.97,338.83,313.82,337.86,368.91,382.03,379.87
354.03,431.73,345.81,357.79,354.55,319.63,276.19,302.29,278.61,312.98,295.52,320.04,296.61,303.15,298.05,331.04,360.34,333.02,326.35,321.04,334.71,308.83,328.90,320.42,314.59,325.38,332.66,342.17,333.95,317.50,348.04,370.28,351.92,366.20,386.57,438.08,402.58,376.92,336.47,366.38,338.49,331.41,315.83,310.36,337.31,330.59,379.14,340.71,337.81,322.87
280.16,360.92,337.13,292.42,305.84,300.61,307.44,302.42,310.37,311.18,301.86,286.19,278.38,313.56,306.89,285.37,286.30,307.79,358.01,334.36,316.83,342.04,339.84,308.96,377.50,368.32,321.14,335.51,322.17,344.83,297.78,319.10,334.12,333.19,350.06,333.02,319.30,293.35,308.84,297.15,302.92,291.62,297.67,323.08,381.44,350.14,320.52,316.41,294.73,314.94
