94.84 ,107.32,144.97,102.39,102.32,122.81,81.30 ,108.62,130.79,108.59,195.97,150.31,170.39,203.07,126.25,223.84,174.21,158.18,161.94,100.51,195.35,196.77,187.14,253.75,148.96,259.27,121.80,105.01,186.49,228.04,209.16,189.91,189.35,220.89,191.04,188.73,241.82,207.29,263.57,281.59,140.76,196.95,254.96,215.60,152.02,206.42,191.39,148.19,261.83,134.12,240.86,229.02,127.66,244.41,250.14,189.92,262.08,207.67,253.75,170.41,265.27,256.37,285.39,240.64,257.71,148.26,238.82,168.86,133.49,188.84,288.85,276.90,201.92,255.77,185.07,282.43,283.88,283.05,197.82,156.65,325.38,308.90,293.11,303.77,189.47,313.59,286.95,219.04,168.28,216.28,208.94,295.87,246.68,134.58,198.49,242.66,211.07,289.03,316.22,227.74
78.82 ,99.47 ,110.47,108.79,118.60,100.81,101.88,122.67,141.75,101.92,165.23,197.76,152.07,147.02,194.28,103.85,115.32,97.53 ,139.15,186.70,200.91,218.57,163.68,195.97,147.89,197.57,186.67,178.89,199.58,124.12,190.66,175.44,195.32,105.93,92.87 ,133.51,246.53,227.55,223.26,159.28,247.86,251.82,114.89,248.39,247.22,146.41,254.70,155.24,250.13,277.47,234.30,261.47,255.19,170.25,226.72,259.48,214.04,70.06 ,210.95,126.25,175.05,207.73,190.34,158.75,96.22 ,166.05,274.08,243.29,218.30,259.55,258.28,298.37,229.42,277.99,172.39,170.85,296.14,271.29,138.69,264.54,250.52,213.62,280.90,100.96,284.26,196.48,195.30,166.37,282.98,277.28,181.57,275.17,217.93,212.32,285.22,158.92,223.29,273.55,285.00,198.91
85.87 ,92.98 ,77.50 ,107.77,130.35,146.13,115.50,110.48,149.97,124.42,205.91,152.54,184.78,145.67,182.79,174.84,110.50,174.25,145.85,156.10,188.97,155.41,204.18,157.86,204.35,201.94,178.27,119.38,129.34,187.03,214.89,209.35,129.29,248.93,188.03,176.23,215.23,177.70,146.83,163.37,141.72,233.79,231.15,103.81,104.56,148.92,219.46,137.99,253.16,187.72,230.44,149.04,222.89,247.48,288.00,169.05,152.61,226.77,252.34,238.71,155.79,274.19,249.67,213.47,205.09,292.92,206.86,276.96,141.36,188.23,218.39,296.06,209.16,219.27,189.57,191.13,118.21,269.54,275.67,211.13,174.03,245.86,175.15,222.90,277.03,230.39,292.93,138.82,255.06,157.54,209.31,287.70,191.50,185.74,181.84,309.42,231.41,309.46,308.05,253.65
92.31 ,95.58 ,130.33,113.52,102.18,131.89,136.95,154.27,109.59,172.54,137.79,151.73,121.72,149.97,93.16 ,182.15,171.66,167.02,140.69,197.15,112.52,197.19,175.11,131.87,120.74,161.54,154.70,228.16,217.35,219.40,147.66,242.96,241.47,211.90,214.07,186.89,181.44,229.97,162.80,224.82,222.71,244.35,219.32,196.55,179.52,190.13,239.13,237.52,234.47,180.98,220.56,186.10,246.03,155.01,163.24,161.97,197.54,268.56,271.77,178.80,199.46,259.12,269.47,264.15,261.12,178.46,160.62,170.93,193.50,198.83,235.38,158.34,268.12,209.28,248.76,282.95,216.57,162.91,156.99,288.08,238.10,311.54,165.73,230.88,315.57,237.14,336.58,312.15,291.65,229.31,147.56,138.42,181.73,269.99,185.34,232.00,145.36,281.32,191.90,186.73
71.31 ,98.14 ,98.37 ,145.78,109.10,124.93,124.24,147.44,122.66,144.34,152.30,188.69,162.36,178.21,146.29,166.20,194.46,200.46,186.27,170.63,137.78,140.68,133.39,147.82,135.77,180.08,163.54,204.76,196.57,146.49,218.33,201.62,158.96,164.23,140.97,140.71,188.95,186.31,230.03,234.56,223.46,244.94,136.85,235.69,261.44,253.07,125.81,208.69,146.80,250.86,160.42,178.72,270.76,264.46,234.97,137.34,147.41,229.76,160.35,223.79,271.07,260.41,282.28,199.60,165.87,188.28,257.79,196.52,175.02,165.51,136.26,181.23,181.08,180.12,200.78,167.46,234.60,257.54,264.17,159.91,189.05,194.74,322.21,201.77,198.82,176.47,222.79,225.19,210.54,214.04,186.50,201.93,191.84,325.05,168.09,202.32,170.27,310.36,190.96,240.06
83.30 ,98.69 ,127.09,126.21,97.43 ,133.29,115.16,129.90,132.08,110.50,93.79 ,183.49,172.52,173.41,141.17,137.96,205.54,164.11,206.70,126.43,200.19,185.22,125.43,115.84,166.29,205.13,195.66,196.49,190.08,151.92,136.67,136.89,137.29,181.12,227.35,220.28,160.43,168.72,178.41,187.58,254.60,229.21,152.51,175.13,195.87,222.04,170.95,129.86,228.42,228.32,256.20,258.04,177.20,222.63,251.82,216.43,156.11,216.09,274.69,200.14,171.11,233.67,234.16,289.61,176.95,263.98,244.81,191.04,249.79,155.51,163.44,306.02,211.98,203.58,214.54,232.06,119.17,218.19,281.50,177.70,262.03,232.72,241.92,235.32,309.48,235.86,227.51,243.81,235.56,205.60,230.64,256.34,247.18,265.32,185.78,256.73,278.93,284.57,209.28,176.50
106.12,103.22,119.83,110.04,142.95,90.78 ,144.41,169.96,128.86,168.01,113.89,138.77,150.58,138.94,153.58,179.50,157.50,135.36,187.74,185.81,200.74,179.20,144.41,191.97,125.23,156.59,191.05,212.94,134.33,136.18,192.28,196.18,136.03,220.15,223.92,254.11,211.27,161.46,192.16,212.92,201.30,211.98,191.35,160.61,127.58,135.73,229.16,172.58,137.66,227.30,230.70,191.69,156.71,220.52,289.79,206.32,141.19,269.99,253.67,279.87,230.99,265.24,168.81,240.97,232.72,292.58,221.32,254.66,255.90,210.81,203.05,188.89,206.09,231.86,301.15,237.56,212.05,289.64,229.88,186.47,232.57,224.95,220.20,228.78,192.02,133.70,260.15,167.53,257.96,176.38,310.57,190.40,193.47,266.76,166.52,208.26,247.16,293.70,261.62,172.50
99.45 ,129.30,96.26 ,117.08,115.12,108.23,159.37,79.58 ,117.26,136.90,141.36,103.56,190.01,139.86,167.92,168.83,169.52,141.75,156.26,154.60,179.34,178.41,121.83,157.08,215.77,249.82,163.30,129.65,227.65,179.92,192.68,210.01,231.19,114.44,229.07,235.83,230.91,228.20,164.59,146.01,204.88,224.14,265.85,254.38,126.70,158.31,231.72,154.55,267.95,205.81,172.51,259.05,146.26,139.45,184.17,245.57,223.58,168.48,229.86,162.79,238.15,246.32,285.06,220.25,190.49,191.93,277.75,234.03,172.10,304.44,199.59,219.62,157.56,268.12,182.08,252.05,237.34,179.96,172.63,234.16,180.05,307.49,243.33,187.07,327.34,195.01,299.37,210.30,290.13,242.34,295.46,234.46,279.52,187.65,222.53,215.79,235.74,195.29,198.59,303.22
79.70 ,125.07,117.01,179.62,114.42,111.85,99.08 ,121.89,99.66 ,117.92,157.22,139.52,124.70,156.01,108.86,151.69,123.79,142.40,172.02,223.69,172.60,214.47,151.67,211.77,209.34,216.42,233.15,196.05,188.84,138.77,142.62,222.64,225.40,241.88,165.00,141.16,159.27,203.77,237.26,222.35,161.81,161.63,156.67,172.31,221.97,236.63,194.43,225.47,227.06,253.80,196.70,158.24,254.89,195.80,244.35,174.59,176.08,259.59,159.07,300.76,190.53,282.82,234.88,248.74,253.13,273.99,228.61,174.05,225.76,171.00,228.02,208.20,291.24,217.99,268.11,209.37,195.62,299.98,163.28,153.61,272.11,287.61,215.46,301.86,223.40,277.73,285.94,234.01,256.07,175.27,262.06,194.28,218.15,222.08,320.44,301.63,248.94,203.15,222.80,305.43
92.70 ,116.09,101.29,122.19,108.14,120.20,160.99,151.41,147.58,197.58,144.09,184.38,128.24,132.94,182.26,111.64,163.73,170.40,193.73,206.70,96.02 ,141.06,169.78,197.08,214.57,121.76,233.47,223.97,124.46,247.66,217.73,171.38,128.95,162.50,123.07,274.13,199.70,217.94,184.08,185.42,120.65,228.22,178.07,216.16,184.34,217.48,222.56,296.82,157.02,171.21,217.31,146.45,152.46,184.47,151.48,221.80,171.32,171.31,178.90,216.42,136.12,121.43,278.74,184.09,259.89,248.11,166.48,322.60,166.58,175.96,141.17,282.76,212.74,263.13,204.50,153.50,248.05,325.65,282.59,209.71,198.67,234.99,193.48,232.51,279.36,256.41,292.08,166.96,219.56,231.33,168.15,278.76,173.77,277.63,140.98,234.93,253.41,294.98,180.15,295.61
