764.19,928.67,932.20 ,1007.27,916.24,973.35 ,953.76,957.21 ,976.28 ,951.99 ,1005.92,961.01 ,1037.86,1082.70,1071.42,1098.40,1081.20,1089.80,1096.62,1075.94
632.72,831.57,1003.57,887.83 ,931.01,1001.52,957.43,925.57 ,962.70 ,983.35 ,984.67 ,972.98 ,1028.49,1006.69,1011.85,989.01 ,1039.81,1032.45,1015.56,1031.41
729.35,989.16,955.59 ,1013.71,971.73,1011.85,965.53,1007.30,999.13 ,1026.41,1001.76,980.71 ,989.41 ,943.48 ,1037.34,1030.68,1076.73,1041.89,1034.92,1059.76
682.44,945.23,871.33 ,875.74 ,917.33,964.83 ,900.63,947.15 ,918.90 ,944.96 ,912.04 ,962.66 ,981.69 ,1003.87,1029.24,1005.60,1003.49,1029.92,1038.99,977.86
719.82,932.29,866.84 ,856.88 ,906.50,923.43 ,874.01,916.15 ,889.43 ,924.72 ,950.98 ,977.30 ,956.16 ,1004.97,1016.41,1042.31,1013.14,1054.66,1037.86,1043.06
747.69,973.36,908.52 ,857.22 ,965.29,962.91 ,915.69,942.58 ,910.13 ,961.63 ,982.69 ,983.90 ,994.03 ,1025.80,972.30 ,1008.35,1017.50,989.73 ,1019.57,955.61
707.96,928.03,917.02 ,947.23 ,927.67,949.75 ,916.25,978.41 ,973.27 ,954.53 ,970.91 ,994.51 ,981.85 ,993.83 ,1010.70,1019.72,1029.77,981.74 ,993.22 ,1004.45
713.10,879.15,1001.65,949.14 ,994.49,986.40 ,962.11,981.48 ,1000.52,997.59 ,1004.71,1004.78,984.85 ,1047.58,1035.32,1040.86,1084.35,1061.64,1093.67,1058.67
591.00,921.18,896.00 ,976.95 ,954.65,930.84 ,921.12,904.23 ,925.66 ,934.83 ,920.04 ,964.10 ,975.80 ,999.86 ,1055.68,1106.72,1137.45,1160.36,1085.08,1017.71
741.28,899.37,894.17 ,933.52 ,901.20,931.77 ,947.91,954.30 ,934.76 ,917.01 ,966.81 ,930.90 ,899.07 ,945.66 ,940.04 ,935.19 ,941.08 ,984.65 ,959.65 ,970.49
650.46,862.74,793.34 ,903.86 ,881.98,953.04 ,926.46,905.65 ,900.88 ,900.77 ,864.37 ,904.71 ,930.08 ,919.46 ,942.51 ,965.65 ,956.81 ,968.04 ,954.00 ,1043.82
657.91,954.83,865.46 ,917.52 ,938.26,884.72 ,892.73,972.98 ,957.16 ,982.28 ,946.35 ,931.49 ,942.58 ,964.60 ,991.73 ,1024.54,1052.28,1016.19,1011.52,1051.92
714.79,920.80,840.99 ,932.85 ,934.42,937.58 ,962.02,944.86 ,978.63 ,979.01 ,973.44 ,986.35 ,960.65 ,1013.50,988.16 ,1031.34,1021.08,1035.74,1019.79,1061.10
760.92,867.17,923.13 ,857.87 ,926.48,974.11 ,980.54,947.58 ,1003.52,999.10 ,1013.92,1019.38,998.87 ,1025.55,1068.80,1022.51,1027.31,1041.67,1062.97,1025.09
873.45,955.62,894.27 ,928.25 ,935.77,960.52 ,931.37,940.19 ,963.40 ,963.73 ,1073.80,1105.64,993.56 ,963.18 ,943.84 ,951.07 ,953.77 ,969.49 ,969.11 ,991.67
766.76,879.99,929.04 ,1013.55,936.66,947.65 ,940.98,998.15 ,1001.70,993.17 ,1015.56,990.22 ,1011.20,1047.32,1036.27,1050.96,1073.60,1079.90,1091.45,1098.88
687.06,911.36,984.72 ,940.90 ,913.34,934.52 ,908.52,918.17 ,952.68 ,931.48 ,942.05 ,990.96 ,931.13 ,956.47 ,979.25 ,1024.88,1029.90,1015.57,1020.20,1063.22
782.84,813.57,934.22 ,922.22 ,911.15,949.26 ,944.85,974.50 ,997.65 ,989.52 ,962.28 ,986.33 ,999.96 ,996.58 ,1012.79,1021.37,950.63 ,994.24 ,1021.98,1025.89
731.28,910.38,933.78 ,957.05 ,996.72,945.60 ,970.13,939.26 ,956.73 ,966.33 ,1027.00,995.01 ,1038.44,1054.38,1026.09,1059.49,1066.58,1059.78,1074.08,1040.90
776.31,935.90,907.94 ,934.59 ,963.47,965.92 ,913.44,944.84 ,998.70 ,970.11 ,1009.15,1007.98,1019.82,1047.97,1038.52,1032.64,1032.83,1000.40,1018.38,1045.59
